taxon	min	max
Ctenocystis	8.3	8.4
Gyrocystis_platessa	6.3	6.7
Gyrocystis_testudiformis	4.3	4.9
Gyrocystis_cruzae	2.8	4.9
Gyrocystis_badulesiensis	2.8	4.9
Gyrocystis_erecta	2.8	4.9
Progyrocystis_disjuncta	2.8	4.9
Protocinctus_mansillaensis	7.2	8.4
Elliptocinctus_barrandei	2.8	3.4
Elliptocinctus_vizcainoi	5.2	6.3
Sucocystis_theronensis	2.8	3.4
Sucocystis_bretoni	2.3	2.8
Lignanicystis_barriosensis	2.8	3.4
Undatacinctus_undata	1.1	2.8
Sucocystis_acrofera	0.0	1.1
Undatacinctus_quadricornuta	1.1	2.8
Undatacinctus_melendezi	1.1	2.8
Asturicystis_jaekeli	6.3	6.7
Sotocinctus_ubaghsi	6.7	7.2
Trochocystites_bohemicus	6.3	7.0
Trochocystoides_parvus	5.5	6.3
Ludwigicinctus_truncatus	2.3	3.4
Graciacystis_ambigua	6.3	6.7
Asturicystis_havliceki	6.7	7.0
Nelegerocystis_ivantzovi	2.3	7.2
Rozanovicystis_triangularis	2.3	7.2
Davidocinctus_pembrokensis	5.2	6.3
